施設名,郵便番号,都道府県名,市名,区名,住所,電話番号,FAX番号,緯度,経度,ホームページURL
平岡小学校,593-8305,大阪府,堺市,西区,大阪府堺市西区堀上緑町1丁6-1,072-271-5044,072-271-5047,34.53460183,135.4773039,https://www.sakai.ed.jp/hiraoka-e/
家原寺小学校,593-8304,大阪府,堺市,西区,大阪府堺市西区家原寺町1丁7-1,072-274-3401,072-274-3402,34.53658944,135.4761912,https://www.sakai.ed.jp/ebaraji-e/
向丘小学校,593-8303,大阪府,堺市,西区,大阪府堺市西区上野芝向ヶ丘町6丁7-1,072-278-0340,072-278-0376,34.53949451,135.4787986,https://www.sakai.ed.jp/mukogaoka-e/
上野芝小学校,593-8308,大阪府,堺市,西区,大阪府堺市西区神野町2丁25-1,072-271-4123,072-271-4124,34.54425147,135.4759689,https://www.sakai.ed.jp/uenoshiba-e/
津久野小学校,593-8322,大阪府,堺市,西区,大阪府堺市西区津久野町3丁14-11,072-262-0303,072-262-0385,34.54526692,135.4710269,https://www.sakai.ed.jp/tsukuno-e/
福泉中央小学校,590-0141,大阪府,堺市,南区,大阪府堺市南区桃山台4丁17-1,072-298-3045,072-298-3102,34.49649512,135.4839119,https://www.sakai.ed.jp/fukuizumichuo-e/
赤坂台小学校,590-0144,大阪府,堺市,南区,大阪府堺市南区赤坂台2丁2-1,072-298-3030,072-298-7707,34.48672571,135.4761982,https://www.sakai.ed.jp/akasakadai-e/
新檜尾台小学校,590-0143,大阪府,堺市,南区,大阪府堺市南区新檜尾台3丁7-1,072-298-7300,072-298-7317,34.48020142,135.4768595,https://www.sakai.ed.jp/shinhinoodai-e/
桃山台小学校,590-0141,大阪府,堺市,南区,大阪府堺市南区桃山台2丁6-1,072-299-0038,072-299-0371,34.48901258,135.4882479,https://www.sakai.ed.jp/momoyamadai-e/
美木多小学校,590-0138,大阪府,堺市,南区,大阪府堺市南区鴨谷台1丁48-1,072-297-0821,072-297-0841,34.47448146,135.4843523,https://www.sakai.ed.jp/mikita-e/
城山台小学校,590-0137,大阪府,堺市,南区,大阪府堺市南区城山台1丁20-1,072-299-6571,072-299-7879,34.46866325,135.4878604,https://www.sakai.ed.jp/shiroyamadai-e/
御池台小学校,590-0134,大阪府,堺市,南区,大阪府堺市南区御池台2丁3-1,072-298-7500,072-298-7502,34.46543746,135.5035762,https://www.sakai.ed.jp/miikedai-e/
庭代台小学校,590-0133,大阪府,堺市,南区,大阪府堺市南区庭代台3丁12-1,072-298-3033,072-298-7706,34.47396979,135.5000749,https://www.sakai.ed.jp/niwashirodai-e/
原山ひかり小学校,590-0132,大阪府,堺市,南区,大阪府堺市南区原山台4丁3-1,072-293-5028,072-293-5029,34.47645,135.49718,https://www.sakai.ed.jp/harayamahikari-e/
上神谷小学校,590-0121,大阪府,堺市,南区,大阪府堺市南区片蔵1425,072-297-0028,072-297-2002,34.48006784,135.5121338,https://www.sakai.ed.jp/niwadani-e/
若松台小学校,590-0116,大阪府,堺市,南区,大阪府堺市南区若松台1丁3-1,072-292-0001,072-292-0002,34.49150454,135.5066883,https://www.sakai.ed.jp/wakamatsudai-e/
茶山台小学校,590-0115,大阪府,堺市,南区,大阪府堺市南区茶山台2丁5-1,072-291-1104,072-291-1171,34.49089727,135.5171664,https://www.sakai.ed.jp/chayamadai-e/
槇塚台小学校,590-0114,大阪府,堺市,南区,大阪府堺市南区槇塚台3丁39-1,072-291-6000,072-291-6031,34.48268881,135.5275566,https://www.sakai.ed.jp/makitsukadai-e/
はるみ小学校,590-0113,大阪府,堺市,南区,大阪府堺市南区晴美台3丁3-1,072-290-1112,072-291-3131,34.49612665,135.535898,https://www.sakai.ed.jp/harumi-e/
泉北高倉小学校,590-0117,大阪府,堺市,南区,大阪府堺市南区高倉台3丁5-1,072-293-3800,072-293-3810,34.49028,135.52888,https://www.sakai.ed.jp/sembokutakakura-e/
三原台小学校,590-0111,大阪府,堺市,南区,大阪府堺市南区三原台3丁2-1,072-291-0394,072-291-0303,34.50152198,135.5206226,https://www.sakai.ed.jp/miharadai-e/
竹城台東小学校,590-0105,大阪府,堺市,南区,大阪府堺市南区竹城台1丁10-1,072-235-0070,072-235-9912,34.50318682,135.5107685,https://www.sakai.ed.jp/takeshirodaihigashi-e/
竹城台小学校,590-0105,大阪府,堺市,南区,大阪府堺市南区竹城台3丁2-1,072-297-0777,072-293-9250,34.49630636,135.5036329,https://www.sakai.ed.jp/takeshirodai-e/
宮山台小学校,590-0101,大阪府,堺市,南区,大阪府堺市南区宮山台2丁2-1,072-297-0515,072-297-0594,34.50419469,135.4991866,https://www.sakai.ed.jp/miyayamadai-e/
西百舌鳥小学校,591-8033,大阪府,堺市,北区,大阪府堺市北区百舌鳥西之町1丁82,072-258-0231,072-258-0232,34.55037228,135.4900222,https://www.sakai.ed.jp/nishimozu-e/
百舌鳥小学校,591-8032,大阪府,堺市,北区,大阪府堺市北区百舌鳥梅町2丁498,072-252-0477,072-252-4636,34.55084447,135.4959109,https://www.sakai.ed.jp/mozu-e/
中百舌鳥小学校,591-8023,大阪府,堺市,北区,大阪府堺市北区中百舌鳥町6丁1033-2,072-258-2650,072-258-2680,34.55020558,135.5072466,https://www.sakai.ed.jp/nakamozu-e/
金岡南小学校,591-8022,大阪府,堺市,北区,大阪府堺市北区金岡町1182-1,072-258-3104,072-258-3105,34.55555235,135.5119115,https://www.sakai.ed.jp/kanaokaminami-e/
金岡小学校,591-8022,大阪府,堺市,北区,大阪府堺市北区金岡町1254,072-252-0028,072-252-0843,34.55869368,135.515184,https://www.sakai.ed.jp/kanaoka-e/
北八下小学校,591-8012,大阪府,堺市,北区,大阪府堺市北区中村町250,072-252-0212,072-252-2111,34.56515116,135.5367354,https://www.sakai.ed.jp/kitayashimo-e/
大泉小学校,591-8021,大阪府,堺市,北区,大阪府堺市北区新金岡町4丁9-1,072-251-2816,072-251-2880,34.56810898,135.5228999,https://www.sakai.ed.jp/oizumi/
新金岡東小学校,591-8021,大阪府,堺市,北区,大阪府堺市北区新金岡町4丁1-9,072-255-8414,072-255-8415,34.5681785,135.5158543,https://www.sakai.ed.jp/shinkanaokahigashi-e/
新金岡小学校,591-8021,大阪府,堺市,北区,大阪府堺市北区新金岡町1丁4-1,072-252-1723,072-253-2331,34.56963085,135.5110772,https://www.sakai.ed.jp/shinkanaoka-e/
光竜寺小学校,591-8021,大阪府,堺市,北区,大阪府堺市北区新金岡町3丁7-1,072-251-2032,072-251-2617,34.57235017,135.5216223,https://www.sakai.ed.jp/koryuji-e/
東三国丘小学校,591-8046,大阪府,堺市,北区,大阪府堺市北区東三国ヶ丘町2丁2-1,072-252-0263,072-252-0264,34.57064096,135.4978513,https://www.sakai.ed.jp/higashimikunigaoka-e/
五箇荘小学校,591-8005,大阪府,堺市,北区,大阪府堺市北区新堀町2丁58,072-252-1418,072-252-5210,34.57724267,135.5140737,https://www.sakai.ed.jp/gokasho-e/
五箇荘東小学校,591-8002,大阪府,堺市,北区,大阪府堺市北区北花田町2丁203,072-255-7911,072-255-7912,34.58093389,135.519633,https://www.sakai.ed.jp/gokashohigashi-e/
東浅香山小学校,591-8042,大阪府,堺市,北区,大阪府堺市北区大豆塚町1丁60,072-252-1081,072-253-2334,34.58015247,135.5045738,https://www.sakai.ed.jp/higashiasakayama-e/
新浅香山小学校,591-8008,大阪府,堺市,北区,大阪府堺市北区東浅香山町3丁31-4,072-254-5081,072-254-5082,34.58571328,135.5086262,https://www.sakai.ed.jp/shinasakayama-e/
黒山小学校,587-0003,大阪府,堺市,美原区,大阪府堺市美原区阿弥93,072-361-0602,072-361-9126,34.53492145,135.5566316,https://www.sakai.ed.jp/kuroyama-e/
平尾小学校,587-0022,大阪府,堺市,美原区,大阪府堺市美原区平尾360,072-361-0029,072-361-6712,34.5328056,135.5665674,https://www.sakai.ed.jp/hirao-e/
美原北小学校,587-0001,大阪府,堺市,美原区,大阪府堺市美原区大保19,072-361-0002,072-361-6701,34.54942108,135.5608296,https://www.sakai.ed.jp/miharakita-e/
八上小学校,587-0063,大阪府,堺市,美原区,大阪府堺市美原区大饗117-1,072-361-0810,072-361-6711,34.54363424,135.5452874,https://www.sakai.ed.jp/yakami-e/
美原西小学校,587-0062,大阪府,堺市,美原区,大阪府堺市美原区太井548,072-362-4891,072-362-4890,34.53825347,135.5531802,https://www.sakai.ed.jp/miharanishi-e/
さつき野小学校,587-0032,大阪府,堺市,美原区,大阪府堺市美原区さつき野東1丁目6-1,072-362-4689,072-362-4699,34.53165097,135.5818898,https://www.sakai.ed.jp/satsukino-e/
