"施設名称","所在地","施設名かな","カテゴリ","分類","TEL","FAX","URL","URL2","バリアフリー情報","詳細情報","備考","経度","緯度","分類"
"豊里連合会館老人憩の家","大阪市東淀川区豊里5-14-17","とよさとれんごうかいかんろうじんいこいのいえ","会館・ホール","地域集会施設","06-4809-9734(区役所)","","","","","","","135.5420032","34.7413558000003","地域集会施設"
"相川福祉会館老人憩の家","大阪市東淀川区相川2-3-9","あいかわふくしかいかんろうじんいこいのいえ","会館・ホール","地域集会施設","06-4809-9734(区役所)","","","","","","","135.5348609","34.7565778000003","地域集会施設"
"西淡路連合第二福祉会館老人憩の家","大阪市東淀川区淡路3-1-17","にしあわじれんごうふくしかいかんろうじんいこいのいえ","会館・ホール","地域集会施設","06-4809-9734(区役所)","","","","","","","135.5137972","34.7366860000003","地域集会施設"
"大桐地域ウェルファーセンター老人憩の家","大阪市東淀川区大桐3-5-45","だいどうちいきうぇるふぁーせんたーろうじんいこいのいえ","会館・ホール","地域集会施設","06-6328-8801","","","","","","","135.547133","34.7471581000002","地域集会施設"
"常盤文化会館","大阪市阿倍野区阪南町1-11-39","ときわぶんかかいかん","会館・ホール","地域集会施設","06-6628-2388","","","","","","","135.5153076","34.6387868700003","地域集会施設"
"阿倍野連合会館老人憩の家","大阪市阿倍野区阪南町2-13-29","あべのれんごうかいかんろうじんいこいのいえ","会館・ホール","地域集会施設","06-6622-4491","","","","","","","135.512317","34.6327721000003","地域集会施設"
"墨江北福祉会館","大阪市住吉区上住吉2丁目11番28号","すみえきたふくしかいかん","会館・ホール","地域集会施設","","","","","","高齢者に教養の向上、レクリエーション等のための場を提供します。","","135.494814000001","34.6104780000004","地域集会施設"
"長居社会福祉協議会老人憩の家","大阪市住吉区長居西1丁目8番11号","ながいしゃかいふくしきょうぎかいろうじんいこいのいえ","会館・ホール","地域集会施設","","","","","","高齢者に教養の向上、レクリエーション等のための場を提供します。","","135.509872","34.6141192000003","地域集会施設"
"東長居社会福祉会館老人憩の家","大阪市住吉区長居東1丁目14番14号","ひがしながいしゃかいふくしかいかんろうじんいこいのいえ","会館・ホール","地域集会施設","","","","","","高齢者に教養の向上、レクリエーション等のための場を提供します。","","135.5225167","34.6071808000003","地域集会施設"
"住吉区民センター","大阪市住吉区南住吉3-15-56","すみよしくみんせんたー","会館・ホール","区役所附設会館","06-6694-6100","06-6694-6115","http://osakacommunity.jp/sumiyoshi/index.html","","https://www.osaka-heartfulweb.jp/210301.html","","","135.5009578","34.6040774300004","区役所附設会館"
"東粉浜会館老人憩の家","大阪市住吉区東粉浜2丁目24番16号","ひがしこはまかいかんろうじんいこいのいえ","会館・ホール","地域集会施設","06-6672-0726","","","","","高齢者に教養の向上、レクリエーション等のための場を提供します。","","135.491958000001","34.6187390000004","地域集会施設"
"万領会館・老人憩の家","大阪市住吉区万代東4丁目1番27号","まんりょうかいかん・ろうじんいこいのいえ","会館・ホール","地域集会施設","6694-9118","","","","","高齢者に教養の向上、レクリエーション等のための場を提供します。","","135.5029029","34.6139170000004","地域集会施設"
"長居連合会館","大阪市住吉区長居4丁目4番28号","ながいれんごうかいかん","会館・ホール","地域集会施設","6694-6818","","","","","","","135.5112055","34.6085377900003","地域集会施設"
"東粉浜ふれあいセンター","大阪市住吉区東粉浜2丁目24番16号","ひがしこはまふれあいせんたー","会館・ホール","地域集会施設","6674-0608","","","","","","","135.491966800001","34.6188251000004","地域集会施設"
"南住吉連合沢之町会館","大阪市住吉区南住吉3-15-43","みなみすみよしれんごうさわのちょうかいかん","会館・ホール","地域集会施設","06-6694-5682","","","","","建物","","135.5000636","34.6034618200004","地域集会施設"
"東淀川区民会館","大阪市東淀川区東淡路1-4-53","ひがしよどがわくみんかいかん","会館・ホール","区役所附設会館","06-6379-0700","06-6379-0800","https://www.osakacommunity.jp/higashiyodogawa-kaikan/","","","","","135.5198952","34.7340658600003","区役所附設会館"
"東淀川区民ホール","大阪市東淀川区豊新2-1-4","ひがしよどがわくみんほーる","会館・ホール","区役所附設会館","06-4809-9734","","http://www.city.osaka.lg.jp/higashiyodogawa/page/0000000479.html","","","","","135.5291965","34.7414638500003","区役所附設会館"
"住之江区民ホール","大阪市住之江区御崎3-1-17","すみのえくみんほーる","会館・ホール","区役所附設会館","06-6682-9734","06-6686-2040","https://www.city.osaka.lg.jp/suminoe/page/0000342833.html","","","","","135.482819100001","34.6095284700004","区役所附設会館"
"開平校下東地域会館","大阪市中央区本町1-4-5","かいへいこうかひがしちいきかいかん","会館・ホール","地域集会施設","06-4964-2466","","","","","","","135.5093765","34.6840388400003","地域集会施設"
"桃園地域集会所（もと桃園会館老人憩の家）","大阪市中央区谷町6-5-30","とうえんかいかんろうじんいこいのいえ","会館・ホール","地域集会施設","06-6762-5599","","","","","","","135.51528","34.6747609700003","地域集会施設"
"桃谷地域集会所（もと桃谷会館老人憩の家）","大阪市中央区上本町西2-5-25","ももだにかいかんろうじんいこいのいえ","会館・ホール","地域集会施設","06-4304-2266","","","","","","","135.51806","34.6736939300003","地域集会施設"
"国際見本市会場（インテックス大阪）","大阪市住之江区南港北1-5-102","こくさいみほんいちかいじょう（いんてっくすおおさか）","会館・ホール","国際施設","06-6612-8800","","https://www.intex-osaka.com/jp","","","","","135.419860000001","34.6371700000007","国際施設"
"ATCホール","大阪市住之江区南港北2-1-10","えーてぃーしーほーる","会館・ホール","その他施設","06-6615-5006","","https://atchall.com/","","","","","135.414566600001","34.6360269000007","その他施設"
"大阪府住吉公園集会所","大阪市住之江区浜口西1-1-26住吉公園内","おおさかふすみよしこうえんしゅうかいしょ","会館・ホール","地域集会施設","06-6672-0981","","","","","","","135.486933300001","34.6138190000004","地域集会施設"
"南大江地域集会所","大阪市中央区農人橋1-4-21","みなみおおえちいきしゅうかいじょ","会館・ホール","地域集会施設","06-6949-5670","","","","","","","135.51458","34.6808584700003","地域集会施設"
"堀川地域集会所","大阪市北区同心1-5-27","ほりかわちいきしゅうかいじょ","会館・ホール","地域集会施設","06-6356-8090","","","","","","","135.5155671","34.7011421000003","地域集会施設"
"旭区民センター","大阪市旭区中宮1-11-14","あさひくみんせんたー","会館・ホール","区役所附設会館","06-6955-1307","06-6955-1308","http://www.osakacommunity.jp/asahi/index.html","","https://www.osaka-heartfulweb.jp/160301.html","","","135.5426985","34.7214738400003","区役所附設会館"
"芸術創造館","大阪市旭区中宮1-11-14","げいじゅつそうぞうかん","会館・ホール","その他施設","06-6955-1066","06-6955-7901","https://geijutsusozokan.jp/","","","","","135.5422374","34.7211009300002","その他施設"
"清水老人憩の家","大阪市旭区清水2-9-20","しみずろうじんいこいのいえ","会館・ホール","地域集会施設","","","","","","","","135.5588455","34.7212585900002","地域集会施設"
"北清水公民館","大阪市旭区清水3-19-18","きたしみずこうみんかん","会館・ホール","地域集会施設","","","","","","","","135.5592778","34.7254189000002","地域集会施設"
"清水地域集会センター","大阪市旭区清水3-15-20","しみずちいきしゅうかいせんたー","会館・ホール","地域集会施設","","","","","","","","135.55896","34.7228700000002","地域集会施設"
"清水５北会館","大阪市旭区清水5-10-3","しみずごきたかいかん","会館・ホール","地域集会施設","","","","","","","","135.5624888","34.7236780000002","地域集会施設"
"古市地域集会所（古市会館）","大阪市旭区森小路1-12-3","ふるいちちいきしゅうかいしょ（ふるいちかいかん）","会館・ホール","地域集会施設","","","","","","","","135.5489609","34.7211890000002","地域集会施設"
"古市老人憩の家（古市会館）","大阪市旭区森小路1-12-3","ふるいちろうじんいこいのいえ（ふるいちかいかん）","会館・ホール","地域集会施設","","","","","","","","135.5489723","34.7211562000002","地域集会施設"
"今市会館","大阪市旭区今市1-10-23","いまいちかいかん","会館・ホール","地域集会施設","","","","","","","","135.5517919","34.7274419000002","地域集会施設"
"今市パンダ集会所","大阪市旭区今市2-21","いまいちぱんだしゅうかいしょ","会館・ホール","地域集会施設","","","","","","","","135.553264","34.7301079000002","地域集会施設"
"太子橋中公園集会所（太子橋会館）","大阪市旭区太子橋2-7-19","たいしばしなかこうえんしゅうかいじょ","会館・ホール","地域集会施設","","","","","","","","135.5552158","34.7358472500002","地域集会施設"
"太子橋老人憩の家（太子橋会館）","大阪市旭区太子橋2-7-19","たいしばしろうじんいこいのいえ","会館・ホール","地域集会施設","","","","","","","","135.5553997","34.7358591700002","地域集会施設"
"大宮会館集会所（大宮会館）","大阪市旭区大宮1-1-7","おおみやかいかんしゅうかいしょ（おおみやかいかん）","会館・ホール","地域集会施設","","","","","","","","135.5434362","34.7211691000002","地域集会施設"
"大宮老人憩の家（大宮会館）","大阪市旭区大宮1-1-7","おおみやろうじんいこいのいえ（おおみやかいかん）","会館・ホール","地域集会施設","","","","","","","","135.5434167","34.7211392000003","地域集会施設"
"大宮北老人憩の家","大阪市旭区大宮5-9-20","おおみやきたろうじんいこいのいえ","会館・ホール","地域集会施設","","","","","","","","135.54613","34.7302600000003","地域集会施設"
"江野公園中宮集会所","大阪市旭区中宮2-18-23","えのこうえんなかみやしゅうかいじょ","会館・ホール","地域集会施設","","","","","","","","135.5423376","34.7234181600003","地域集会施設"
"中宮老人憩の家","大阪市旭区中宮3-16-2","なかみやろうじんいこいのいえ","会館・ホール","地域集会施設","","","","","","","","135.542972","34.7257110000003","地域集会施設"
"淀の水会館","大阪市旭区中宮5-12-4","よどのみずかいかん","会館・ホール","地域集会施設","","","","","","","","135.5441362","34.7302470000002","地域集会施設"
"生江地域集会所（生江コミュニティ会館）","大阪市旭区生江1-4-31","いくえちいきしゅうかいしょ（いくえこみゅにてぃかいかん）","会館・ホール","地域集会施設","","","","","","","","135.5348892","34.7230891000003","地域集会施設"
"生江老人憩の家（生江コミュニティ会館）","大阪市旭区生江1-4-31","いくえろうじんいこいのいえ（いくえこみゅにてぃかいかん）","会館・ホール","地域集会施設","","","","","","","","135.5349222","34.7232361000003","地域集会施設"
"旭産業会館","大阪市旭区生江1-10-38","あさひさんぎょうかいかん","会館・ホール","地域集会施設","","","","","","","","135.538208","34.7225439000003","地域集会施設"
"城北集会所","大阪市旭区赤川1-4-3","しろきたしゅうかいじょ","会館・ホール","地域集会施設","","","","","","","","135.53255","34.7235300000003","地域集会施設"
"城北憩いの家","大阪市旭区赤川4-22-28","しろきたいこいのいえ","会館・ホール","地域集会施設","","","","","","","","135.5305","34.7282000000003","地域集会施設"
"桜島集会所","大阪市此花区桜島3-4-102","さくらじまれんごうしゅうかいじょ","会館・ホール","地域集会施設","6460-7889","","","","","","","135.427651900001","34.6616376400006","地域集会施設"
"此花区民ホール","大阪市此花区四貫島1-1-18","このはなくみんほーる","会館・ホール","区役所附設会館","6463-1100","","http://www.kyoiku-shinko.jp/konohana/","","https://www.osaka-heartfulweb.jp/040301.html","","","135.457060800001","34.6858788200005","区役所附設会館"
"四貫島連合集会場","大阪市此花区四貫島2-26-13","しかんじまれんごうしゅうかいじょう","会館・ホール","地域集会施設","6462-1000","","","","","","","135.453480200001","34.6858192700005","地域集会施設"
"四貫島憩の家","大阪市此花区四貫島2-26-17","しかんじまろうじんいこいのいえ","会館・ホール","地域集会施設","","","","","","","","135.452702800001","34.6855830000005","地域集会施設"
"春日出南憩の家","大阪市此花区春日出南1‐5‐8","かすがでみなみいこいのいえ","会館・ホール","地域集会施設","","","","","","","","135.456092400001","34.6799501300005","地域集会施設"
"此花公園集会所","大阪市此花区春日出北1-5-14","このはなこうえんしゅうかいじょ","会館・ホール","地域集会施設","","","","","","","","135.450102800001","34.6820643400005","地域集会施設"
"西九条公民館","大阪市此花区西九条1-3-16","にしくじょうこうみんかん","会館・ホール","地域集会施設","","","","","","","","135.469117000001","34.6834032000005","地域集会施設"
"西九条老人憩の家","大阪市此花区西九条1-3-16","にしくじょうろうじんいこいのいえ","会館・ホール","地域集会施設","","","","","","","","135.469114300001","34.6833500000004","地域集会施設"
"西九条福祉会館","大阪市此花区西九条2-3-15","にしくじょうふくしかいかん","会館・ホール","福祉施設","","","","","","","","135.466158000001","34.6807062000005","福祉施設"
"もと波除老人憩の家","大阪市港区波除2-2-27","もとなみよけろうじんいこいのいえ","会館・ホール","地域集会施設","","","","","","","","135.464241800001","34.6725023000005","地域集会施設"
"波除地区集会所","大阪市港区波除5-1-6","なみよけちくしゅうかいじょ","会館・ホール","地域集会施設","","","","","","","","135.462096700001","34.6721421000005","地域集会施設"
"港近隣センター","大阪市港区八幡屋1-4-20","みなときんりんせんたー","会館・ホール","区役所附設会館","06-6571-3056","","https://www.osakacommunity.jp/minato-kinrin-center/","","https://osaka-heartfulweb.jp/facility-info.php?n=30","","","135.447920000001","34.6565776400005","区役所附設会館"
"八幡屋会館老人憩の家","大阪市港区八幡屋3-12-10","やはたやかいかんろうじんいこいのいえ","会館・ホール","地域集会施設","","","","","","","","135.444518900001","34.6543250000006","地域集会施設"
"弁天会館老人憩の家","大阪市港区弁天1-4-14","べんてんかいかんろうじんいこいのいえ","会館・ホール","地域集会施設","","","","","","","","135.459589000001","34.6683310000005","地域集会施設"
"港区民センター","大阪市港区磯路1-7-17","みなとくみんせんたー","会館・ホール","区役所附設会館","06-6572-0020","06-6572-0274","https://www.osakacommunity.jp/minato-center/","","https://osaka-heartfulweb.jp/facility-info.php?n=29","","","135.461778200001","34.6677625400005","区役所附設会館"
"弁天老人憩の家・さくら会館","大阪市港区弁天3-10-19","べんてんろうじんいこいのいえ・さくらかいかん","会館・ホール","地域集会施設","","","","","","","","135.452339000001","34.6675220000005","地域集会施設"
"夕凪会館老人憩の家","大阪市港区夕凪2-18-44","ゆうなぎかいかんろうじんいこいのいえ","会館・ホール","地域集会施設","","","","","","","","135.449433100001","34.6611689000005","地域集会施設"
"高見集会所","大阪市此花区高見1-4-46","たかみしゅうかいしょ","会館・ホール","地域集会施設","","","","","","","","135.459210300001","34.6911397000005","地域集会施設"
"高見公民館","大阪市此花区高見3-2-16","たかみこうみんかん","会館・ホール","地域集会施設","","","","","","","","135.456892100001","34.6909441000005","地域集会施設"
"文の里会館","大阪市阿倍野区昭和町1-6-6","ふみのさとかいかん","会館・ホール","地域集会施設","06-6628-3323","","","","","","","135.5194205","34.6345850300003","地域集会施設"
"常盤西会館","大阪市阿倍野区松崎町1-2-50","ときわにしかいかん","会館・ホール","地域集会施設","06-6621-2951","","","","","","","135.518986","34.6437475900003","地域集会施設"
"西田辺会館","大阪市阿倍野区西田辺町2-1-7","にしたなべかいかん","会館・ホール","地域集会施設","","","","","","","","135.5153421","34.6180888000003","地域集会施設"
"長池連合会館","大阪市阿倍野区長池町19-1","ながいけれんごうかいかん","会館・ホール","地域集会施設","06-6629-0458","","","","","","","135.5180081","34.6230873000003","地域集会施設"
"高松南苑","大阪市阿倍野区天王寺町南3-9-17","たかまつみなみえん","会館・ホール","地域集会施設","06-6719-4163","","","","","","","135.5255249","34.6400690000003","地域集会施設"
"常盤東会館","大阪市阿倍野区天王寺町南3-9-19","ときわひがしかいかん","会館・ホール","地域集会施設","06-6713-4078","","","","","","","135.5254333","34.6401581000003","地域集会施設"
"高松会館","大阪市阿倍野区天王寺町北2-24-4","たかまつかいかん","会館・ホール","地域集会施設","06-6714-0927","","","","","","","135.5235219","34.6456721000003","地域集会施設"
"此花会館","大阪市此花区西九条5-4-21","このはなかいかん","会館・ホール","その他施設","06-6461-1547","06-6461-2282","http://www.konohana-hall.jp/index.html","","","","","135.464279200001","34.6837262700005","その他施設"
"西九条振興会館","大阪市此花区西九条6-1-18","にしくじょうしんこうかいかん","会館・ホール","地域集会施設","6463-8900","","","","","","","135.463394100001","34.6820905700005","地域集会施設"
"男女共同参画センター西部館（クレオ大阪西）","大阪市此花区西九条6-1-20","だんじょきょうどうさんかくせんたーせいぶかん（くれおおおさかにし）","会館・ホール","その他施設","06-6460-7800","06-6460-9630","http://www.creo-osaka.or.jp/west/index.html","","https://www.osaka-heartfulweb.jp/040702.html","","","135.463873400001","34.6823577300005","その他施設"
"朝日橋友愛子供会館","大阪市此花区朝日1-3-4","あさひばしゆうあいこどもかいかん","会館・ホール","地域集会施設","","","","","","","","135.461408100001","34.6846719000005","地域集会施設"
"伝法連合第2集会所","大阪市此花区伝法3-2-16","でんぽうれんごうだい２しゅうかいしょ","会館・ホール","地域集会施設","","","","","","","","135.453906100001","34.6905420000005","地域集会施設"
"伝法コミュニティ集会所","大阪市此花区伝法4-4-30","でんぽうこみゅにてぃしゅうかいじょ","会館・ホール","地域集会施設","6461-4895","","","","","","","135.451800300001","34.6880190900005","地域集会施設"
"北港会館","大阪市此花区島屋2-11-6","ほっこうかいかん","会館・ホール","地域集会施設","","","","","","","","135.439411300001","34.6790810000006","地域集会施設"
"島屋第２憩の家","大阪市此花区島屋3-7-2","しまやだい２ろうじんいこいのいえ","会館・ホール","地域集会施設","6464-4665","","","","","","","135.443077900001","34.6768924600006","地域集会施設"
"酉島集会所","大阪市此花区酉島1-15-1","とりしましゅうかいじょ","会館・ホール","地域集会施設","","","","","","","","135.442622300001","34.6841517000006","地域集会施設"
"島屋憩の家","大阪市此花区酉島6-5-19","しまやいこいのいえ","会館・ホール","地域集会施設","","","","","","","","135.434987200001","34.6826548700006","地域集会施設"
"梅香連合集会所","大阪市此花区梅香2-1-4","ばいかれんごうしゅうかいじょ","会館・ホール","地域集会施設","6460-5777","","","","","","","135.458980000001","34.6803300000005","地域集会施設"
"梅香老人憩の家","大阪市此花区梅香3-21-13","ばいかろうじんいこいのいえ","会館・ホール","地域集会施設","6468-0242","","","","","","","135.456601600001","34.6835575900005","地域集会施設"
"遠里小野老人憩の家","大阪市住吉区遠里小野7丁目5番3号","おりおのろうじんいこいのいえ","会館・ホール","地域集会施設","6694-1272","","","","","","","135.492835900001","34.5967140000004","地域集会施設"
"依羅コミュニティ会館","大阪市住吉区我孫子5丁目2番40号","よさみこみゅにてぃかいかん","会館・ホール","地域集会施設","4703-3988","","","","","","","135.5074223","34.6002171000003","地域集会施設"
"苅北地域コミュニティ会館","大阪市住吉区苅田2丁目3番1号","かりきたちいきこみゅにてぃかいかん・ろうじんいこいのいえ","会館・ホール","地域集会施設","6696-1048","","","","","","","135.5185282","34.6041080000003","地域集会施設"
"苅田北福祉会館・老人憩の家","大阪市住吉区苅田3丁目2番24号","かりたきたふくしかいかん・ろうじんいこいのいえ","会館・ホール","地域集会施設","6696-1200","","","","","","","135.5179562","34.6027060000003","地域集会施設"
"和会館・老人憩の家","大阪市住吉区山之内4丁目3番13号","やわらぎかいかん・ろうじんいこいのいえ","会館・ホール","地域集会施設","6694-4337","","","","","","","135.5022972","34.5891142000003","地域集会施設"
"住吉コミュニティ会館・老人憩の家","大阪市住吉区住吉1丁目7番30号","すみよしこみゅにてぃかいかん・ろうじんいこいのいえ","会館・ホール","地域集会施設","","","","","","","","135.496645000001","34.6139406000004","地域集会施設"
"桃ヶ池会館","大阪市阿倍野区桃ヶ池町1-3-8","ももがいけかいかん","会館・ホール","地域集会施設","06-6628-0603","","","","","","","135.522017","34.6315813800003","地域集会施設"
"苅田南老人憩の家","大阪市住吉区苅田9-1-14","かりたみなみろうじんいこいのいえ","会館・ホール","地域集会施設","06-6699-5963","","","","","高齢者に教養の向上、レクリエーション等のための場を提供します。","","135.5160351","34.5977034000003","地域集会施設"
"晴明丘会館","大阪市阿倍野区北畠1-18-4","せいめいがおかかいかん","会館・ホール","地域集会施設","06-6629-4331","06-6629-7005","","","","","","135.5056921","34.6259610000003","地域集会施設"
"中央区民センター","大阪市中央区久太郎町1-2-27","ちゅうおうくみんせんたー","会館・ホール","区役所附設会館","06-6267-0201","06-6267-0950","https://www.osakacommunity.jp/chuo-center/","","https://www.osaka-heartfulweb.jp/050301.html","","","135.50903","34.6811189600003","区役所附設会館"
"中央会館","大阪市中央区島之内2-12-31","ちゅうおうかいかん","会館・ホール","区役所附設会館","06-6211-0630","06-6211-0620","https://www.osakacommunity.jp/chuo-kaikan/","","https://www.osaka-heartfulweb.jp/050302.html","","","135.50764","34.6718342500004","区役所附設会館"
"大阪城ホール","大阪市中央区大阪城3-1 大阪城公園内","おおさかじょうほーる","会館・ホール","その他施設","","","","","","","","135.5300248","34.6897110000003","その他施設"
"大阪城音楽堂","大阪市中央区大阪城3-11","おおさかじょうおんがくどう","会館・ホール","その他施設","06-6947-1197","06-6947-5731","https://www.osakacastlepark.jp/ongakudo/","","","","","135.53056","34.6827040300003","その他施設"
"大淀コミュニティセンター","大阪市北区本庄東3-8-2","おおよどこみゅにてぃせんたー","会館・ホール","区役所附設会館","06-6372-0213","","https://www.city.osaka.lg.jp/shimin/page/0000016600.html","","https://www.osaka-heartfulweb.jp/010301.html","","","135.508567","34.7159261400003","区役所附設会館"
"丸山文化センター","大阪市阿倍野区阿倍野筋4-19-110","まるやまぶんかせんたー","会館・ホール","地域集会施設","06-6661-0461","","","","","","","135.5093676","34.6414945600003","地域集会施設"
"阿倍野区民センター","大阪市阿倍野区阿倍野筋4-19-118","あべのくみんせんたー","会館・ホール","区役所附設会館","06-4398-9877","06-4398-9878","https://abeno-cc.net","","","","","135.5104916","34.6405038800003","区役所附設会館"
"王子福祉会館","大阪市阿倍野区阿倍野筋4-7-17","おうじふくしかいかん","会館・ホール","地域集会施設","06-6622-1245","","","","","","","135.5137835","34.6401639000003","地域集会施設"
"金塚ふれあい会館","大阪市阿倍野区旭町3-3-18","かなづかふれあいかいかん","会館・ホール","地域集会施設","06-6641-1000","","","","","","","135.5078683","34.6430789700003","地域集会施設"
"晴明丘南会館","大阪市阿倍野区北畠2-11-24","せいめいがおかみなみかいかん","会館・ホール","地域集会施設","06-6629-4331","06-6629-7005","","","","","","135.501144","34.6258584700004","地域集会施設"
"中央公会堂","大阪市北区中之島1-1-27","ちゅうおうこうかいどう","会館・ホール","その他施設","06-6208-2002","","","","https://www.osaka-heartfulweb.jp/010701.html","","","135.5040979","34.6935526500003","その他施設"
"グランキューブ大阪（大阪国際会議場）","大阪市北区中之島5-3-51","ぐらんきゅーぶおおさか（おおさかこくさいかいぎじょう）","会館・ホール","地域集会施設","06-4803-5555","","","","","","","135.486260900001","34.6893531000004","地域集会施設"
"滝川公園地域集会所・憩の家","大阪市北区天満4-7-20","たきがわこうえんちいきしゅうかいじょ・いこいのいえ","会館・ホール","地域集会施設","06-6352-9720","","","","","","","135.5146502","34.6946719000003","地域集会施設"
"堀川会館","大阪市北区同心2-8-7","ほりかわかいかん","会館・ホール","地域集会施設","06-6356-6600","","","","","","","135.5134703","34.7034855300003","地域集会施設"
"北天満会館","大阪市北区山崎町5-21","きたてんまかいかん","会館・ホール","地域集会施設","06-6365-1676","","","","","","","135.5076783","34.7058859000003","地域集会施設"
