"施設名","住所","電話番号","経度","緯度","分類"
"春日野地域福祉センター","中央区八雲通1-1-7","078-242-0294","135.207049","34.700965","地域福祉センター"
"若菜地域福祉センター","中央区神若通2-3-7","078-241-1921","135.203813","34.704026","地域福祉センター"
"二宮地域福祉センター","中央区二宮町3-12-1","078-251-7051","135.195763","34.700115","地域福祉センター"
"脇の浜地域福祉センター","中央区脇浜海岸通3-2-7","078-231-8300","135.206423","34.695351","地域福祉センター"
"港島地域福祉センター","中央区港島中島2-3-3","078-303-1213","135.214966","34.670488","地域福祉センター"
"山の手地域福祉センター","中央区中山手通6-1-40","078-360-8850","135.181268","34.691133","地域福祉センター"
"和田岬地域福祉センター","兵庫区浜山通1-1-5","078-652-3633","135.171401","34.657847","地域福祉センター"
"川池地域福祉センター","兵庫区松本通5-2-6","078-578-8112","135.160603","34.676892","地域福祉センター"
"湊山地域福祉センター","兵庫区大同町2-2-8","078-511-4056","135.162705","34.68773","地域福祉センター"
"浜山地域福祉センター","兵庫区御崎町1-2-4","078-651-4862","135.168111","34.655694","地域福祉センター"
"ひよどり地域福祉センター","兵庫区菊水町10-12-1","078-521-6914","135.153392","34.681019","地域福祉センター"
"中道地域福祉センター","兵庫区中道通4-2-8","078-575-1118","135.164102","34.674866","地域福祉センター"
"熊野地域福祉センター","兵庫区熊野町3-12-18","078-531-7520","135.158277","34.686436","地域福祉センター"
"夢野地区地域福祉センター","兵庫区湊川町7-6-5","078-521-8927","135.1585","34.683111","地域福祉センター"
"水木地域福祉センター","兵庫区駅前通3-2-26","078-578-4007","135.160898","34.668135","地域福祉センター"
"明親地域福祉センター","兵庫区須佐野通4-1-43","078-672-1416","135.166372","34.664843","地域福祉センター"
"菊水地域福祉センター","兵庫区菊水町2-1-2","078-521-6953","135.163628","34.685739","地域福祉センター"
"荒田地域福祉センター","兵庫区荒田町2-19-1","078-575-7056","135.166952","34.681539","地域福祉センター"
"兵庫大開地域福祉センター","兵庫区永沢町4-4-28","078-578-1841","135.169953","34.674293","地域福祉センター"
"小部地域福祉センター","北区鈴蘭台北町4-9-9","078-591-7552","135.149103","34.727853","地域福祉センター"
"有馬地域福祉センター","北区有馬町241-3","078-903-2900","135.247546","34.80023","地域福祉センター"
"花山地域福祉センター","北区花山東町3-3","078-583-0583","135.187531","34.764793","地域福祉センター"
"有野台地域福祉センター","北区有野台2-1","078-982-9299","135.228012","34.811687","地域福祉センター"
"有野台第2地域福祉センター","北区有野台6-22-1","078-987-3830","135.2331","34.81182","地域福祉センター"
"大沢地域福祉センター","北区大沢町中大沢996-1","078-954-0308","135.166428","34.854551","地域福祉センター"
"泉台地域福祉センター","北区泉台3-13-1","078-592-5730","135.140962","34.741621","地域福祉センター"
"君影地域福祉センター","北区君影町1-2-10","078-594-1333","135.135843","34.715393","地域福祉センター"
"小部東地域福祉センター","北区鈴蘭台東町6-2-6","078-594-0500","135.151811","34.722621","地域福祉センター"
"鈴蘭台地域福祉センター","北区鈴蘭台南町2-14-24","078-595-0272","135.140957","34.725364","地域福祉センター"
"長尾地域福祉センター","北区長尾町上津194-1","078-986-7001","135.203545","34.872195","地域福祉センター"
"筑紫が丘地域福祉センター","北区筑紫が丘3-2-9","078-582-2337","135.163443","34.746154","地域福祉センター"
"唐櫃地域福祉センター","北区唐櫃台3-27-1","078-981-7855","135.214738","34.788597","地域福祉センター"
"箕谷地域福祉センター","北区緑町4-6-3","078-583-6347","135.150968","34.7524","地域福祉センター"
"南五葉地域福祉センター","北区南五葉5-1-1","078-591-4248","135.136676","34.723014","地域福祉センター"
"桜の宮地域福祉センター","北区甲栄台2-2-20","078-594-2049","135.149056","34.742141","地域福祉センター"
"八多地域福祉センター","北区八多町附物393-1","078-982-0514","135.197226","34.821632","地域福祉センター"
"道場地域福祉センター","北区道場町塩田1439-3","078-985-1028","135.230822","34.867331","地域福祉センター"
"大池地域福祉センター","北区東大池2-3-13","078-987-1026","135.199642","34.780345","地域福祉センター"
"藤原台地域福祉センター","北区藤原台中町7-14-16","078-987-0124","135.215313","34.813869","地域福祉センター"
"有野地域福祉センター","北区有野中町2-20-19","078-987-0294","135.224628","34.82637","地域福祉センター"
"北五葉地域福祉センター","北区北五葉3-7-1","078-593-8526","135.136421","34.730583","地域福祉センター"
"淡河地域福祉センター","北区淡河町萩原323","078-959-0668","135.104239","34.812896","地域福祉センター"
"ひよどり台地域福祉センター","北区ひよどり台3-8","078-741-6658","135.122114","34.697487","地域福祉センター"
"星和台鳴子地域福祉センター","北区鳴子2-11-1","078-594-7516","135.126211","34.721678","地域福祉センター"
"鹿の子台地域福祉センター","北区鹿の子台北町6-34-3","078-952-0106","135.218254","34.862029","地域福祉センター"
"山田地域福祉センター","北区山田町福地18-3","078-582-0087","135.130873","34.767383","地域福祉センター"
"上淡河地域福祉センター","北区淡河町野瀬459-2","078-958-0668","135.151166","34.822076","地域福祉センター"
"広陵地域福祉センター","北区小倉台2-15-3","078-581-2790","135.164135","34.751434","地域福祉センター"
"谷上地域福祉センター","北区谷上西町7-3","078-581-2124","135.16906","34.76128","地域福祉センター"
"大原桂木地域福祉センター","北区大原3-21","078-582-0818","135.140404","34.74965","地域福祉センター"
"西山地域福祉センター","北区菖蒲が丘1-14-3","078-951-5666","135.217447","34.839219","地域福祉センター"
"甲緑地域福祉センター","北区緑町2-7-28","078-582-3936","135.148101","34.75032","地域福祉センター"
"重池地域福祉センター","長田区重池町2-3-5","078-691-9911","135.153602","34.677891","地域福祉センター"
"高取山地域福祉センター","長田区高取山町1-2-3","078-631-4920","135.136586","34.669956","地域福祉センター"
"志里池地域福祉センター","長田区東尻池町1-14-4","078-651-9936","135.154129","34.661044","地域福祉センター"
"真野地域福祉センター","長田区東尻池町6-3-19","078-681-2700","135.156812","34.65661","地域福祉センター"
"みすが地域福祉センター","長田区御蔵通4-5-1","078-577-6194","135.154718","34.665412","地域福祉センター"
"大日丘地域福祉センター","長田区大日丘町3-8-10","078-631-3521","135.135869","34.688968","地域福祉センター"
"宮川地域福祉センター","長田区長田町2-2-1","078-612-4160","135.148054","34.670931","地域福祉センター"
"北町地域福祉センター","長田区北町3-4-1","078-531-4911","135.151382","34.66514","地域福祉センター"
"真陽地域福祉センター","長田区久保町3-9-6","078-641-2277","135.149041","34.654429","地域福祉センター"
"若松地域福祉センター","長田区若松町8-2-13","078-611-8480","135.142111","34.654199","地域福祉センター"
"長田東地域福祉センター","長田区四番町4-54","078-575-1865","135.154187","34.670032","地域福祉センター"
"会陽地域福祉センター","長田区六番町2-7-1","078-577-2824","135.155362","34.67306","地域福祉センター"
"長田地域福祉センター","長田区西山町2-4-1","078-631-8801","135.143002","34.672345","地域福祉センター"
"細田地域福祉センター","長田区細田町7-1-30","078-641-6608","135.144949","34.659838","地域福祉センター"
"長田庄山地域福祉センター","長田区庄山町2-1-6","078-641-9977","135.135894","34.662441","地域福祉センター"
"丸山地域福祉センター","長田区丸山町2-3-50","078-631-2761","135.140162","34.683143","地域福祉センター"
"池田地域福祉センター","長田区蓮宮通4-11","078-631-7960","135.145229","34.666457","地域福祉センター"
"名倉地域福祉センター","長田区房王寺4-7-15","078-642-4166","135.148076","34.679856","地域福祉センター"
"二葉地域福祉センター","長田区二葉町6-5-1","078-691-5988","135.147272","34.652355","地域福祉センター"
"長楽地域福祉センター","長田区海運町7-1-23","078-734-1131","135.142038","34.648575","地域福祉センター"
"高倉台地域福祉センター","須磨区高倉台4-1-4","078-735-5632","135.105358","34.65713","地域福祉センター"
"南須磨地域福祉センター","須磨区松風町5-2-1","078-733-0980","135.126769","34.647038","地域福祉センター"
"多井畑地域福祉センター","須磨区多井畑字筋替道21-3","078-741-8979","135.093506","34.660768","地域福祉センター"
"神の谷地域福祉センター","須磨区神の谷5-2-1","078-795-1344","135.085121","34.689438","地域福祉センター"
"西落合地域福祉センター","須磨区西落合5-13-20","078-791-3880","135.086451","34.681768","地域福祉センター"
"須磨の浦地域福祉センター","須磨区千守町1-1-20","078-733-9857","135.114543","34.644161","地域福祉センター"
"白川台地域福祉センター","須磨区白川台7-3-8","078-794-0740","135.101697","34.695714","地域福祉センター"
"菅の台地域福祉センター","須磨区菅の台4-5","078-791-2888","135.085377","34.67287","地域福祉センター"
"板宿地域福祉センター","須磨区禅昌寺町2-1-5","078-732-4155","135.128645","34.668218","地域福祉センター"
"滝が台地域福祉センター","須磨区竜が台5-20","078-793-4030","135.089216","34.675063","地域福祉センター"
"妙法寺地域福祉センター","須磨区妙法寺字桜ノ界地106-1","078-742-0194","135.117274","34.675716","地域福祉センター"
"松尾地域福祉センター","須磨区北落合3-2-1","078-794-0280","135.090739","34.68846","地域福祉センター"
"東落合地域福祉センター","須磨区東落合3-33-12","078-791-0005","135.102677","34.686471","地域福祉センター"
"南落合地域福祉センター","須磨区南落合3-11-2","078-794-5314","135.102343","34.677276","地域福祉センター"
"大黒地域福祉センター","須磨区大黒町2-2-12","078-735-2008","135.134933","34.65988","地域福祉センター"
"横尾地域福祉センター","須磨区横尾2-1-1","078-741-2004","135.113088","34.671759","地域福祉センター"
"東須磨地域福祉センター","須磨区若木町3-5-9","078-732-8957","135.124529","34.656005","地域福祉センター"
"若草地域福祉センター","須磨区若草町3-14-9","078-743-6166","135.112065","34.690146","地域福祉センター"
"花谷地域福祉センター","須磨区中落合1-1-25","078-791-1400","135.097836","34.677838","地域福祉センター"
"桃山台地域福祉センター","垂水区桃山台3-25","078-753-6613","135.081142","34.656401","地域福祉センター"
"霞ヶ丘地域福祉センター","垂水区五色山4-15-8","078-709-8080","135.044033","34.631068","地域福祉センター"
"塩屋地域福祉センター","垂水区塩屋町4-3-9","078-752-7988","135.081828","34.634499","地域福祉センター"
"つつじが丘地域福祉センター","垂水区つつじが丘4-6-7","078-707-5840","135.074814","34.659026","地域福祉センター"
"高丸地域福祉センター","垂水区坂上5-1-2","078-752-7930","135.060835","34.63304","地域福祉センター"
"神陵台地域福祉センター","垂水区南多聞台1-8-8","078-785-7224","135.032768","34.657151","地域福祉センター"
"舞子地域福祉センター","垂水区西舞子7-30-1","078-782-4090","135.027758","34.646014","地域福祉センター"
"多聞東地域福祉センター","垂水区学が丘4-3-7","078-784-8210","135.053513","34.659301","地域福祉センター"
"上高丸地域福祉センター","垂水区千鳥が丘3-20-15","078-707-9836","135.057894","34.645599","地域福祉センター"
"多聞台地域福祉センター","垂水区多聞台4-14-9","078-785-7030","135.043133","34.661206","地域福祉センター"
"西高丸地域福祉センター","垂水区高丸6-3-1","078-706-5702","135.055752","34.638315","地域福祉センター"
"西脇地域福祉センター","垂水区本多聞1-5-4","078-785-2524","135.038871","34.652569","地域福祉センター"
"多聞南地域福祉センター","垂水区本多聞6-8-12","078-785-2558","135.045343","34.651162","地域福祉センター"
"垂水地域福祉センター","垂水区平磯1-2-5","078-753-4193","135.058991","34.628091","地域福祉センター"
"小束山地域福祉センター","垂水区学が丘7-1-29","078-784-0693","135.05901","34.662043","地域福祉センター"
"狩口台地域福祉センター","垂水区狩口台2-31-1","078-782-6320","135.028154","34.651818","地域福祉センター"
"東垂水地域福祉センター","垂水区王居殿2-5-25","078-753-6002","135.07088","34.635214","地域福祉センター"
"本多聞地域福祉センター","垂水区本多聞4-1-2","078-781-8802","135.05083","34.657579","地域福祉センター"
"千代が丘地域福祉センター","垂水区旭が丘3-12-3","078-708-7228","135.049817","34.637869","地域福祉センター"
"星陵台地域福祉センター","垂水区星陵台7-5-3","078-783-8988","135.045761","34.642914","地域福祉センター"
"名谷地域福祉センター","垂水区名谷町字中坊487-3","078-708-4345","135.068838","34.650572","地域福祉センター"
"福田地域福祉センター","垂水区乙木3-3-2","078-753-2255","135.067131","34.641437","地域福祉センター"
"塩屋北地域福祉センター","垂水区塩屋北町1-11-3","078-753-8648","135.084109","34.647561","地域福祉センター"
"乙木地域福祉センター","垂水区美山台1-9-40","078-752-9218","135.069676","34.638595","地域福祉センター"
"神出地域福祉センター","西区神出町田井34-2","078-203-4275","134.989895","34.74628","地域福祉センター"
"学園西町地域福祉センター","西区学園西町5-2-3","078-792-9572","135.055484","34.682921","地域福祉センター"
"高和地域福祉センター","西区押部谷町高和774","078-994-9083","135.013667","34.740961","地域福祉センター"
"春日台地域福祉センター","西区春日台4-5","078-961-4888","134.995717","34.707303","地域福祉センター"
"糀台地域福祉センター","西区糀台3-32-6","078-992-4178","135.023869","34.718847","地域福祉センター"
"枝吉地域福祉センター","西区枝吉4-48-4","078-203-1474","134.975589","34.668113","地域福祉センター"
"平野地域福祉センター","西区平野町宮前148","078-961-2001","134.983601","34.709088","地域福祉センター"
"狩場台地域福祉センター","西区狩場台3-6-2","078-992-8408","135.031639","34.722944","地域福祉センター"
"竹の台地域福祉センター","西区竹の台2-20-1","078-992-6889","135.011846","34.711531","地域福祉センター"
"学園東地域福祉センター","西区学園東町5-4","078-795-3581","135.065462","34.684038","地域福祉センター"
"出合地域福祉センター","西区王塚台5-73","078-927-1201","134.976591","34.674971","地域福祉センター"
"岩岡第2地域福祉センター","西区竜が丘2-15-12","078-967-0083","134.934417","34.710953","地域福祉センター"
"桜が丘地域福祉センター","西区桜が丘東町1-3-1","078-995-2298","135.058633","34.751347","地域福祉センター"
"樫野台地域福祉センター","西区樫野台5-4-2","078-991-9922","135.002399","34.708442","地域福祉センター"
"美賀多台地域福祉センター","西区美賀多台3-13-4","078-961-6392","135.005641","34.717416","地域福祉センター"
"玉津地域福祉センター","西区玉津町出合204-4","078-925-3253","134.981946","34.674829","地域福祉センター"
"北山地域福祉センター","西区北山台3-26-1","078-994-1195","135.031419","34.762465","地域福祉センター"
"櫨谷地域福祉センター","西区櫨谷町長谷75","078-997-0412","135.019771","34.705941","地域福祉センター"
"岩岡第1地域福祉センター","西区岩岡町岩岡922-1","078-967-0005","134.94776","34.72063","地域福祉センター"
"月が丘地域福祉センター","西区月が丘5-1-12","078-995-1195","135.04988","34.759965","地域福祉センター"
"井吹東地域福祉センター","西区井吹台東町4-21-2","078-996-3569","135.041478","34.703332","地域福祉センター"
"高津橋地域福祉センター","西区玉津町高津橋188","078-914-6336","134.99259","34.669904","地域福祉センター"
"井吹西地域福祉センター","西区井吹台西町4-4","078-996-3006","135.022509","34.692287","地域福祉センター"
"押部谷地域福祉センター","西区押部谷町西盛字老之本313","078-995-3346","135.03359","34.753762","地域福祉センター"
"伊川谷地域福祉センター","西区伊川谷町別府1337-1","078-976-5445","135.020043","34.676298","地域福祉センター"
"有瀬地域福祉センター","西区伊川谷町有瀬1137-30","078-976-5007","135.019449","34.665176","地域福祉センター"
"長坂地域福祉センター","西区伊川谷町有瀬603-2","078-976-9373","135.023966","34.664018","地域福祉センター"
"太山寺地域福祉センター","西区前開南町2-1-20","078-975-6562","135.047326","34.686045","地域福祉センター"
"深江南地域福祉センター","神戸市東灘区深江南町3-4-24","078-453-1313","135.296099","34.721925","地域福祉センター"
"藍那小河地域福祉センター","北区山田町藍那字下ノ町77-8","078-203-1543","135.113064","34.734522","地域福祉センター"
"北須磨地域福祉センター","須磨区離宮前町2-7-24","078-735-3005","135.118775","34.651479","地域福祉センター"
"井吹北地域福祉センター","西区井吹台北町2-17-7","078-939-2146","135.032644","34.706038","地域福祉センター"
"箕谷分館地域福祉センター","北区日の峰1-19","078-586-3663","135.14774","34.759506","地域福祉センター"
"平野地域福祉センター","兵庫区神田町11-10","","135.170549","34.691168","地域福祉センター"
"入江地域福祉センター","兵庫区西出町1-19-3","","135.17758","34.672652","地域福祉センター"
"野田北部地域福祉センター","長田区海運町3-6-2","","135.138523","34.652163","地域福祉センター"
"友が丘地域福祉センター","須磨区友が丘5-2600-2","","135.087522","34.667424","地域福祉センター"
"押部谷東地域福祉センター","西区秋葉台2-1-272","","135.066745","34.745154","地域福祉センター"
