"緊急避難場所","避難所の利用","施設名称","住所","電話番号","土砂災害","洪水","津波","備考","経度","緯度","分類"
"○","○","六甲アイランド高校","神戸市東灘区向洋町中4-4","078-858-4000","－","－","○","","135.2714269","34.6848339333884","屋内の緊急避難場所"
"○","○","福池小学校","神戸市東灘区本山南町4-4-28","078-452-5595","○","○","○","","135.2787669","34.7212831334374","屋内の緊急避難場所"
"○","○","本山南小学校","神戸市東灘区本山南町8-2-1","078-452-0071","○","○","○","","135.2824636","34.7235717334404","屋内の緊急避難場所"
"○","○","神戸大学白鴎寮","神戸市東灘区本山南町1-4-50","078-431-6231","○","△","○","《洪水時》一部洪水による浸水想定区域に入っているため注意","135.2876408","34.7235202334404","屋内の緊急避難場所"
"○","○","向洋小学校","神戸市東灘区向洋町中6","078-857-2450","－","－","○","","135.2644942","34.6876808333923","屋内の緊急避難場所"
"○","○","甲南小学校","神戸市東灘区住吉本町1-12-1","078-841-1201","○","○","○","","135.2639961","34.7222717334387","屋内の緊急避難場所"
"○","○","神大附属中等教育学校","神戸市東灘区住吉山手5-11-1","078-811-0232","○","○","○","","135.2544994","34.7320231334518","屋内の緊急避難場所"
"○","○","本山南中学校","神戸市東灘区田中町4-12-1","078-412-2033","○","○","○","","135.2705342","34.7231161334398","屋内の緊急避難場所"
"○","○","住吉中学校","神戸市東灘区住吉山手1-11-1","078-851-3752","○","○","○","","135.2587214","34.7258628334435","屋内の緊急避難場所"
"○","○","御影中学校","神戸市東灘区御影中町5-1-1","078-841-2541","○","○","○","","135.2535331","34.7159417334302","屋内の緊急避難場所"
"○","○","魚崎中学校","神戸市東灘区魚崎南町1-2-1","078-411-1631","○","×","×","","135.2790506","34.7131200334264","屋内の緊急避難場所"
"○","○","東灘体育館","神戸市東灘区魚崎南町6-5-11","078-452-9279","○","×","×","","135.278116","34.7146660334285","屋内の緊急避難場所"
"○","○","鶴甲小学校","神戸市灘区鶴甲2-10-1","078-821-0444","△","○","○","《土砂災害時》正門が土砂災害警戒区域内にあるので注意、西門を利用","135.2363925","34.7335836334539","屋内の緊急避難場所"
"○","○","神戸大学農学部","神戸市灘区六甲台町1-1","078-803-5921(昼)、078-803-5777(夜)","○","○","○","","135.233272","34.7246400334419","屋内の緊急避難場所"
"○","○","神戸大学工学部","神戸市灘区六甲台町1-1","078-803-6333(昼)、078-803-6361(夜)","△","○","○","《土砂災害時》施設の一部・施設までの道のりの一部が土砂災害警戒区域内にあるので注意、早めに避難","135.237488","34.726994033445","屋内の緊急避難場所"
"○","○","神戸大学大学院人間発達環境学研究科","神戸市灘区鶴甲３-11","078-803-7905(昼)、078-803-7941(夜)","○","○","○","","135.2345373","34.7334524734537","屋内の緊急避難場所"
"○","","神戸松蔭女子学院大学","神戸市灘区篠原伯母野山町1-2-1","078-882-6121","○","○","○","","135.2295239","34.7273600334455","屋内の緊急避難場所"
"○","○","成徳小学校","神戸市灘区備後町1-3-1","078-821-1001","○","○","○","","135.2422119","34.7156136334298","屋内の緊急避難場所"
"○","○","高羽小学校","神戸市灘区高羽町3-11-11","078-841-0541","○","○","○","","135.2394699","34.72326713344","屋内の緊急避難場所"
"○","","親和女子高校・親和中学校","神戸市灘区土山町6-1","078-854-3800","△","○","○","《土砂災害時》施設の一部・施設までの道のりの一部が土砂災害警戒区域内にあるので注意、早めに避難","135.242026","34.7267560334447","屋内の緊急避難場所"
"○","○","西郷小学校","神戸市灘区大石東町6-2-1","078-861-2888","○","○","○","","135.232752","34.7069712334182","屋内の緊急避難場所"
"○","○","六甲小学校","神戸市灘区八幡町4-4-1","078-881-1071","○","○","○","","135.2333847","34.7176856334326","屋内の緊急避難場所"
"○","○","福住小学校","神戸市灘区福住通7-1-1","078-861-2424","△","○","○","《土砂災害時》土砂災害警戒区域外（稗田小学校・王子スポーツセンター）へ避難。ただし、警戒区域外への避難が困難な方や余裕のない場合は利用可","135.2184924","34.7131542334265","屋内の緊急避難場所"
"○","○","神戸高校","神戸市灘区城の下通1-5-1","078-861-0434","○","○","○","","135.2139531","34.7183517334334","屋内の緊急避難場所"
"○","○","王子スポーツセンター","神戸市灘区青谷町1-1-1","078-802-0223","○","○","○","","135.2127184","34.7112438334239","屋内の緊急避難場所"
"○","○","西灘小学校","神戸市灘区船寺通3-4-1","078-861-8851","○","○","○","","135.2277828","34.7078003334193","屋内の緊急避難場所"
"○","○","原田中学校","神戸市灘区船寺通2-4-1","078-861-0431","○","○","○","","135.228747","34.7079570334195","屋内の緊急避難場所"
"○","○","稗田小学校","神戸市灘区岸地通4-2-1","078-871-0721","○","○","○","","135.2224081","34.711338933424","屋内の緊急避難場所"
"○","○","美野丘小学校","神戸市灘区箕岡通1-3-17","078-871-1381","○","○","○","","135.22118","34.7230792334398","屋内の緊急避難場所"
"○","○","上野中学校","神戸市灘区国玉通1-1-1","078-871-9681","△","○","○","《土砂災害時》正門が土砂災害警戒区域内にあるので注意、早めに避難","135.2228913","34.7193020234347","屋内の緊急避難場所"
"○","○","摩耶小学校","神戸市灘区畑原通4-1-1","078-861-3172","△","○","○","《土砂災害時》土砂災害警戒区域外（稗田小学校・上野中学校）へ避難、ただし、警戒区域外への避難が困難な方や余裕のない場合は利用可","135.2205719","34.7157272334299","屋内の緊急避難場所"
"○","○","灘小学校","神戸市灘区千旦通1-5-1","078-871-0481","○","○","○","","135.2325461","34.7132556334266","屋内の緊急避難場所"
"○","○","六甲山小学校","神戸市灘区六甲山町北六甲4512-42","078-891-0328","○","－","－","","135.2322536","34.7573864334857","屋内の緊急避難場所"
"○","○","鷹匠中学校","神戸市灘区高徳町2-2-19","078-841-0041","△","○","○","《土砂災害時》土砂災害警戒区域外（高羽小学校）へ避難すること、ただし、警戒区域外への避難が困難な方や余裕のない場合は利用可","135.2438533","34.7201547334359","屋内の緊急避難場所"
"○","○","烏帽子中学校","神戸市灘区烏帽子町1-2-1","078-851-5777","○","○","○","","135.2376273","34.7106720334231","屋内の緊急避難場所"
"○","○","長峰中学校","神戸市灘区長峰台2-2-1","078-861-3781","△","○","○","《土砂災害時》正門が土砂災害警戒区域内にあるので注意、早めに避難","135.222605","34.7248011334421","屋内の緊急避難場所"
"〇","〇","灘の浜小学校","神戸市灘区摩耶海岸通2-2-1","078-802-1750","〇","〇","〇","","135.223696","34.7020050334115","屋内の緊急避難場所"
"○","○","上筒井小学校","神戸市中央区野崎通1-1-2","078-241-1080","○","○","○","","135.2114173","34.7099224934221","屋内の緊急避難場所"
"○","○","筒井台中学校","神戸市中央区野崎通1-1-3","078-241-3201","○","○","○","","135.2100675","34.7093111334213","屋内の緊急避難場所"
"○","○","葺合高校","神戸市中央区野崎通1-1-1","078-291-0771","○","○","○","","135.2102842","34.7110108334236","屋内の緊急避難場所"
"○","○","宮本小学校","神戸市中央区宮本通2-1-36","078-221-1600","○","○","○","","135.2117731","34.7067197334178","屋内の緊急避難場所"
"○","○","科学技術高校","神戸市中央区脇浜町1-4-70","078-272-9900","○","○","○","","135.2135256","34.7043033334146","屋内の緊急避難場所"
"○","○","葺合中学校","神戸市中央区熊内町1-4-28","078-241-0444","×","○","○","《土砂災害時》土砂災害警戒区域外の緊急避難場所（雲中小学校、春日野小学校）へ避難","135.2032542","34.706844433418","屋内の緊急避難場所"
"○","○","春日野小学校","神戸市中央区宮本通7-1-6","078-231-2461","○","○","○","","135.206143","34.7056615034164","屋内の緊急避難場所"
"○","○","なぎさ小学校","神戸市中央区脇浜海岸通2-4-1","078-252-5611","○","○","○","","135.2110122","34.6977428334058","屋内の緊急避難場所"
"○","○","渚中学校","神戸市中央区脇浜海岸通2-1-1","078-242-4501","○","○","○","","135.2175697","34.7004675334094","屋内の緊急避難場所"
"○","○","雲中小学校","神戸市中央区熊内町3-1-7","078-231-3441","○","○","○","","135.2001544","34.7059667334168","屋内の緊急避難場所"
"○","○","布引中学校","神戸市中央区熊内町6-7-1","078-241-0010","×","○","○","《土砂災害時》土砂災害警戒区域外の緊急避難場所（雲中小学校、中央小学校）へ避難","135.1991572","34.7094081334214","屋内の緊急避難場所"
"○","○","中央小学校","神戸市中央区神若通7-1-1","078-231-2421","○","○","○","","135.1996908","34.7017422334111","屋内の緊急避難場所"
"○","○","コミスタこうべ（生涯学習支援センター）","神戸市中央区吾妻通4-1-6","078-251-4731","○","○","○","","135.2046319","34.6982261334064","屋内の緊急避難場所"
"○","○","葺合公民館","神戸市中央区真砂通2-1-1","078-232-4026","○","○","○","","135.204535","34.6949830334021","屋内の緊急避難場所"
"○","○","磯上体育館","神戸市中央区八幡通2-1-38","078-251-6622","○","○","○","","135.199317","34.6921820333983","屋内の緊急避難場所"
"○","","こうべ市民福祉交流センター","神戸市中央区磯上通3-1-32","078-271-5314","○","○","○","","135.2017676","34.6928637333992","屋内の緊急避難場所"
"○","○","こうべ小学校","神戸市中央区中山手通4-23-2","078-221-2539","○","○","○","","135.18247","34.6935569334002","屋内の緊急避難場所"
"○","","浄福寺","神戸市中央区北野町4-11-19","078-221-3052","○","○","○","","135.1881541","34.700165383409","屋内の緊急避難場所"
"○","○","海外移住と文化の交流センター","神戸市中央区山本通3-19-8","078-272-2362","×","○","○","《土砂災害時》土砂災害警戒区域外の緊急避難場所（こうべ小学校）へ避難","135.1846367","34.6974231334053","屋内の緊急避難場所"
"○","○","神戸生田中学校","神戸市中央区北長狭通4-10-1","078-334-1850","○","○","○","","135.1856644","34.6899906333954","屋内の緊急避難場所"
"○","○","山の手小学校","神戸市中央区中山手通7-31-1","078-341-8911","○","○","○","","135.1757292","34.6906489333962","屋内の緊急避難場所"
"○","○","中央図書館","神戸市中央区楠町7-2-1","078-371-3301","○","○","○","","135.1741492","34.6856249333895","屋内の緊急避難場所"
"○","○","湊翔楠中学校","神戸市中央区楠町4-2-5","078-351-2152","○","○","○","","135.1716466","34.6839972333873","屋内の緊急避難場所"
"○","○","中央体育館","神戸市中央区楠町4-1-1","078-341-7971","○","○","○","","135.1744294","34.6827886333857","屋内の緊急避難場所"
"○","○","湊小学校","神戸市中央区東川崎町1-4-1","078-360-1200","○","○","×","","135.1808511","34.6768975333778","屋内の緊急避難場所"
"○","","産業振興センター","神戸市中央区東川崎1-8-4","078-360-3214","○","○","△","《津波時》3階以上へ避難すること。","135.1817956","34.6806028333827","屋内の緊急避難場所"
"○","○","こうべまちづくり会館","神戸市中央区元町通4-2-14","078-361-4523","○","○","×","","135.1829065","34.6860973333901","屋内の緊急避難場所"
"○","○","義務教育学校港島学園","神戸市中央区港島中町3-2-2","078-302-1661,1771","－","－","○","建物に被害が無ければ、原則自宅避難","135.2140986","34.669656933368","屋内の緊急避難場所"
"○","○","神戸国際展示場","神戸市中央区港島中町6-11-1","078-302-1020","－","－","○","建物に被害が無ければ、原則自宅避難","135.2126072","34.66373003336","屋内の緊急避難場所"
"○","○","ワールド記念ホール","神戸市中央区港島中町6-12-2","078-302-8781","－","－","○","建物に被害が無ければ、原則自宅避難","135.2101714","34.6639883333604","屋内の緊急避難場所"
"○","○","ポートアイランドスポーツセンター","神戸市中央区港島中町6-12-1","078-302-1031","－","－","○","建物に被害が無ければ、原則自宅避難","135.210735","34.6631078333592","屋内の緊急避難場所"
"○","○","バンドー神戸青少年科学館","神戸市中央区港島中町7-7-6","078-302-5177","－","－","○","建物に被害が無ければ、原則自宅避難","135.2182844","34.6659964333631","屋内の緊急避難場所"
"○","○","神戸学院大学","神戸市中央区港島1-1-3","078-974-1551","－","－","○","建物に被害が無ければ、原則自宅避難","135.2039939","34.6694625333677","屋内の緊急避難場所"
"○","○","神戸祇園小学校","神戸市兵庫区下三条町11-1","078-511-2600","○","○","○","","135.166986","34.6879110333926","屋内の緊急避難場所"
"○","","ネイチャー　スタジオ","神戸市兵庫区雪御所町2-18-201","078-521-2370","○","○","○","","135.0954323","34.4123204330187","屋内の緊急避難場所"
"○","○","建設局中央水環境センター鈴蘭台処理場","神戸市兵庫区烏原町字譲原","078-521-0020","×","○","○","《土砂災害時》土砂災害警戒区域外（神戸祇園小学校）へ避難","135.1482163","34.6984246334067","屋内の緊急避難場所"
"○","○","友生支援学校","神戸市兵庫区夢野町1-1","078-576-6120","○","○","○","","135.1603502","34.6862663333904","屋内の緊急避難場所"
"○","○","夢野中学校","神戸市兵庫区鵯越町10-1","078-511-5555","○","○","○","","135.153004","34.6820730333847","屋内の緊急避難場所"
"○","","夢野こどもホーム（一階地域交流スペース）","神戸市兵庫区夢野町4-3-13","078-511-3445","○","○","○","","135.1562126","34.6835817333868","屋内の緊急避難場所"
"○","○","夢野の丘小学校","神戸市兵庫区東山町4-20","078-521-7340","○","○","○","","135.1605583","34.6816692333842","屋内の緊急避難場所"
"○","○","会下山小学校","神戸市兵庫区上沢通1-3-26","078-577-1501","○","○","○","","135.1652133","34.6792201333809","屋内の緊急避難場所"
"○","○","湊川中学校・楠高校","神戸市兵庫区松本通1-1-1","078-521-4874","○","○","○","","135.1641303","34.6799525333819","屋内の緊急避難場所"
"○","○","神港橘高校","神戸市兵庫区会下山町3-16-1","078-579-2000","○","○","○","","135.156764","34.6752090333755","屋内の緊急避難場所"
"○","○","兵庫大開小学校","神戸市兵庫区大開通4-1-39","078-575-4773","○","○","○","","135.1663192","34.6736700333734","屋内の緊急避難場所"
"○","○","水木小学校","神戸市兵庫区水木通9-1-8","078-575-8360","○","○","○","","135.1594761","34.6703563333689","屋内の緊急避難場所"
"○","○","兵庫中学校","神戸市兵庫区永沢町4-3-36","078-577-0744","○","○","○","","135.169955","34.6736533333734","屋内の緊急避難場所"
"○","○","明親小学校","神戸市兵庫区須佐野通4-1-19","078-651-2855","○","○","○","","135.1661081","34.6651625333619","屋内の緊急避難場所"
"○","○","須佐野中学校","神戸市兵庫区松原通1-1-44","078-671-4261","○","○","△","《津波時》JR より北や明親小学校へ避難することが困難な場合は利用可","135.1697442","34.664460033361","屋内の緊急避難場所"
"○","○","和田岬小学校","神戸市兵庫区和田宮通6-1-18","078-671-1105","○","○","×","《津波時》JRより北などへ避難が困難な場合はノエビアスタジアムへ避難","135.1754714","34.6551500333485","屋内の緊急避難場所"
"○","○","兵庫工業高校","神戸市兵庫区和田宮通2-1-63","078-671-1431","○","○","△","《津波時》JRより北などへ避難が困難な場合はノエビアスタジアムへ避難が困難な場合はD棟３階以上へ避難","135.1737856","34.6595550333544","屋内の緊急避難場所"
"○","○","浜山小学校","神戸市兵庫区材木町4-2","078-651-3890","○","○","○","","135.1662009","34.6577497333519","屋内の緊急避難場所"
"○","○","吉田中学校","神戸市兵庫区吉田町1-5-1","078-681-3545","○","○","×","《津波時》JRより北などへ避難が困難な場合はノエビアスタジアムへ避難","135.1711849","34.6521824333445","屋内の緊急避難場所"
"○","","高齢者ケアセンターひょうご","神戸市兵庫区里山町1-48","078-612-3335","○","○","○","","135.1409349","34.6926209333989","屋内の緊急避難場所"
"○","○","鵯台中学校","神戸市北区ひよどり台1-15-31","078-743-0072","○","○","－","","135.119395","34.6940922334009","屋内の緊急避難場所"
"○","○","ひよどり台小学校","神戸市北区ひよどり台3-3","078-743-0062","○","○","－","","135.1248861","34.6978361334059","屋内の緊急避難場所"
"○","○","星和台中学校","神戸市北区星和台1-6","078-593-8400","○","○","－","","135.1285742","34.7191089334345","屋内の緊急避難場所"
"○","○","星和台小学校","神戸市北区星和台6-21","078-593-8200","○","○","－","","135.123755","34.7238111334408","屋内の緊急避難場所"
"○","○","鈴蘭台中学校","神戸市北区北五葉2-10-32","078-591-4521","○","○","－","","135.1325319","34.7293744334482","屋内の緊急避難場所"
"○","○","北五葉小学校","神戸市北区北五葉3-7-1","078-591-1196","○","○","－","","135.1364567","34.7305658334498","屋内の緊急避難場所"
"○","○","藍那小河地域福祉センター","神戸市北区山田町藍那字下の町77-8","078-203-1543","○","○","－","","135.1130516","34.7345144734551","屋内の緊急避難場所"
"○","○","君影小学校","神戸市北区君影町1-11-13","078-592-0059","○","○","－","","135.1362431","34.7143622334281","屋内の緊急避難場所"
"○","○","南五葉小学校","神戸市北区南五葉3-1-1","078-591-1314","○","○","－","","135.1335958","34.7220808334385","屋内の緊急避難場所"
"○","○","鈴蘭台小学校","神戸市北区鈴蘭台南町2-14-24","078-592-8181","○","○","－","","135.1409536","34.7253611334429","屋内の緊急避難場所"
"○","○","小部小学校","神戸市北区鈴蘭台北町3-8-1","078-591-1761","○","○","－","","135.1481373","34.7296452334486","屋内の緊急避難場所"
"○","○","小部中学校","神戸市北区山田町小部字向井谷23-1","078-592-1177","○","○","－","","135.1552522","34.7304383334497","屋内の緊急避難場所"
"○","○","小部東小学校","神戸市北区鈴蘭台北町7-11-22","078-592-0086","○","○","－","《土砂災害時》北門が土砂災害警戒区域内にあるので注意、西門を利用","135.1570161","34.7277472334461","屋内の緊急避難場所"
"○","○","泉台小学校","神戸市北区泉台3-1-4","078-593-7771","○","○","－","","135.1374203","34.7384094334603","屋内の緊急避難場所"
"○","○","桜の宮小学校","神戸市北区若葉台1-3-15","078-591-1009","○","○","－","","135.1544244","34.7405872334633","屋内の緊急避難場所"
"○","○","桜の宮中学校","神戸市北区大脇台6-1","078-593-8001","○","○","－","","135.1598575","34.73812083346","屋内の緊急避難場所"
"○","○","大原中学校","神戸市北区大原1-19","078-581-6661","○","○","－","","135.1439031","34.7459253334704","屋内の緊急避難場所"
"○","○","桂木小学校","神戸市北区桂木1-2-5","078-582-4001","○","○","－","","135.14575","34.7478194334729","屋内の緊急避難場所"
"○","○","甲緑小学校","神戸市北区緑町7-12-10","078-581-1221","○","○","－","《土砂災害時》南門が土砂災害警戒区域内にあるので注意、北門を利用","135.1501775","34.7445700334686","屋内の緊急避難場所"
"○","○","箕谷小学校","神戸市北区松が枝町1-11","078-581-8030","○","○","－","","135.1494689","34.758298933487","屋内の緊急避難場所"
"○","○","広陵小学校","神戸市北区筑紫が丘2-9-1","078-583-0191","○","○","－","","135.1652094","34.7484919334739","屋内の緊急避難場所"
"○","○","広陵中学校","神戸市北区小倉台5-1-1","078-583-1313","○","○","－","","135.1698603","34.7494190334751","屋内の緊急避難場所"
"○","○","筑紫が丘小学校","神戸市北区筑紫が丘3-4-1","078-581-1006","○","○","－","","135.1626847","34.7442508334682","屋内の緊急避難場所"
"○","○","山田中学校","神戸市北区山田町下谷上字宮ノ前15","078-581-1068","△","○","－","《土砂災害時》正門及び西門が土砂災害警戒区域にあるため、東門を利用","135.15656","34.7631097334934","屋内の緊急避難場所"
"○","○","谷上小学校","神戸市北区山田町下谷上字中上16","078-581-3351","○","○","－","","135.1695683","34.7633560334938","屋内の緊急避難場所"
"○","○","山田小学校","神戸市北区山田町中字長尾サ1","078-581-0055","〇","○","－","","135.1315793","34.7655384334967","屋内の緊急避難場所"
"○","○","花山小学校","神戸市北区花山東町3-1","078-583-1120","○","○","－","","135.1851184","34.7652070334962","屋内の緊急避難場所"
"○","○","大池中学校","神戸市北区西大池2-24-3","078-581-8034","○","○","－","","135.1959735","34.7722335335056","屋内の緊急避難場所"
"○","○","大池小学校","神戸市北区西大池2-24-1","078-581-8032","○","○","－","","135.1985989","34.7721855335055","屋内の緊急避難場所"
"○","○","六甲が丘会館","神戸市北区東大池1-5-8","078-981-8806","○","○","－","","135.2000142","34.7794996335153","屋内の緊急避難場所"
"○","○","唐櫃中学校","神戸市北区唐櫃台4-36-1","078-982-6461","○","○","－","","135.2116828","34.7849856335226","屋内の緊急避難場所"
"○","○","唐櫃小学校","神戸市北区唐櫃台2-39-1","078-981-5926","○","○","－","","135.2140461","34.7898350335291","屋内の緊急避難場所"
"○","○","神戸北高校","神戸市北区唐櫃台2-41-1","078-981-0131","○","○","－","","135.2166767","34.7884603335273","屋内の緊急避難場所"
"○","○","有馬小学校","神戸市北区有馬町1274","078-904-0170","○","○","－","","135.2484678","34.800937233544","屋内の緊急避難場所"
"○","○","五社ふれあい館","神戸市北区有野町有野878-1","-","○","○","－","《土砂災害時》避難場所への進入経路が土砂災害警戒区域内にあるので注意","135.2153928","34.8051587335496","屋内の緊急避難場所"
"○","○","有馬中学校","神戸市北区有野台7-18","078-981-5101","○","○","－","","135.2264669","34.8096414335556","屋内の緊急避難場所"
"○","○","ありの台小学校","神戸市北区有野台5-2","078-981-5111","○","○","－","","135.229927","34.8141050335615","屋内の緊急避難場所"
"○","○","藤原台小学校","神戸市北区藤原台南町1-13-1","078-982-5880","○","○","－","","135.2081294","34.8128017335598","屋内の緊急避難場所"
"○","○","有野小学校","神戸市北区藤原台中町3-17-1","078-981-5341","○","○","－","","135.2178647","34.8206678335703","屋内の緊急避難場所"
"○","○","有野中学校","神戸市北区藤原台中町5-2-1","078-982-2700","○","○","－","","135.214115","34.8220619335721","屋内の緊急避難場所"
"○","○","有野北中学校","神戸市北区藤原台北町6-4-1","078-987-3057","○","○","－","","135.2231308","34.8297614335824","屋内の緊急避難場所"
"○","○","ＪＡ兵庫六甲（神戸北文化センター）","神戸市北区有野中町2-12-13","078-981-6550","○","○","－","夜間、土休日は閉館のため避難の際は北神区役所（981-5377）に問い合わせ","135.2261756","34.8266315335782","屋内の緊急避難場所"
"○","○","西山小学校","神戸市北区西山1-67","078-952-1800","○","○","－","","135.2182786","34.8388828335945","屋内の緊急避難場所"
"○","○","西二郎集会所","神戸市北区有野町有野3556-1","-","○","○","－","","135.2270181","34.8379940335933","屋内の緊急避難場所"
"○","○","道場小学校","神戸市北区道場町塩田1460","078-985-4016","○","×","－","《水害時》別の避難場所へ避難","135.2324854","34.8695656636353","屋内の緊急避難場所"
"○","○","生野自治会館","神戸市北区道場町生野285","078-985-5322","○","×","－","《水害時》別の避難場所へ避難","135.250965","34.866292033631","屋内の緊急避難場所"
"○","○","平田自治会館","神戸市北区道場町平田553","078-985-5866","○","○","－","","135.2390834","34.8514614336112","屋内の緊急避難場所"
"○","○","生野高原安心コミュニティプラザ","神戸市北区道場町生野1172-1022","-","○","○","－","","135.2709696","34.8481991936069","屋内の緊急避難場所"
"○","○","義務教育学校八多学園","神戸市北区八多町附物876","078-982-0048(前期課程)、078-982-0049(後期課程)","○","○","－","","135.1956558","34.8225998335729","屋内の緊急避難場所"
"○","○","中公民館","神戸市北区八多町中1177","078-951-0303","○","○","－","","135.216607","34.8493620336085","屋内の緊急避難場所"
"○","○","大沢小・中学校","神戸市北区大沢町中大沢976","078-954-0310(小)、078-954-0142(中)","○","○","－","","135.1651806","34.8550778336161","屋内の緊急避難場所"
"○","○","上大沢ふれあい会館","神戸市北区大沢町上大沢3080","078-954-0633","○","○","－","","135.1836861","34.8488791336078","屋内の緊急避難場所"
"○","○","長尾小学校","神戸市北区上津台3-4-1","078-986-2074","○","○","－","","135.1944764","34.8657092336302","屋内の緊急避難場所"
"○","○","岩谷公会堂","神戸市北区長尾町上津4270","078-986-2510","○","○","－","","135.1733832","34.883609533654","屋内の緊急避難場所"
"○","○","鹿の子台小学校","神戸市北区鹿の子台北町6-34-1","078-952-1720","○","○","－","","135.2183289","34.8610031336239","屋内の緊急避難場所"
"○","○","北神戸中学校","神戸市北区鹿の子台北町2-8-1","078-951-0821","○","○","－","","135.22287","34.8629167336265","屋内の緊急避難場所"
"○","○","好徳小学校","神戸市北区淡河町野瀬487","078-958-0004","○","○","－","","135.1501956","34.8224556335726","屋内の緊急避難場所"
"○","○","淡河中学校","神戸市北区淡河町行原字中沢179-2","078-958-0301","○","○","－","","135.1240617","34.8195472335688","屋内の緊急避難場所"
